#dig
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,#
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,#
x,x,x,x,x,x,x,x,x,x,x,x,x,x,d,d,d,x,x,x,x,x,x,x,x,x,x,x,#
x,x,x,x,x,x,x,x,x,x,x,x,x,x,d,d,d,x,x,x,x,x,x,x,x,x,x,x,#
x,x,x,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
x,x,x,d,d,i,d,d,d,d,d,d,d,d,d,i,d,d,d,d,d,d,d,d,d,i,d,d,#
x,x,x,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,#
x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,#
x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,#
x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,#
x,x,x,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
x,x,x,d,d,d,d,d,d,d,d,d,d,d,d,i,d,d,d,d,d,d,d,d,d,d,d,d,#
x,x,x,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,#
x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,#
x,x,x,x,d,d,d,x,x,x,x,x,x,d,d,d,d,d,x,x,x,x,x,x,d,d,d,x,#
x,x,x,x,d,d,d,x,x,x,x,x,d,d,d,d,d,d,d,x,x,x,x,x,d,d,d,x,#
x,x,x,d,d,d,i,d,d,d,d,d,d,d,x,x,x,d,d,d,d,d,d,d,i,d,d,d,#
x,x,x,d,d,d,i,d,d,d,d,d,d,d,x,x,x,d,d,d,d,d,d,d,i,d,d,d,#
x,x,x,d,d,d,i,d,d,d,d,d,d,d,x,x,x,d,d,d,d,d,d,d,i,d,d,d,#
x,x,x,x,d,d,d,x,x,x,x,x,d,d,d,d,d,d,d,x,x,x,x,x,d,d,d,x,#
x,x,x,x,d,d,d,x,x,x,x,x,x,d,d,d,d,d,x,x,x,x,x,x,d,d,d,x,#
x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,#
x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,#
x,x,x,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
x,x,x,d,d,d,d,d,d,d,d,d,d,d,d,i,d,d,d,d,d,d,d,d,d,d,d,d,#
x,x,x,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,#
x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,#
x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,#
x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,x,x,x,x,x,x,d,d,d,x,#
x,x,x,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
x,x,x,d,d,i,d,d,d,d,d,d,d,d,d,i,d,d,d,d,d,d,d,d,d,i,d,d,#
x,x,x,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
x,x,x,x,x,x,x,x,x,x,x,x,x,x,d,d,d,x,x,x,x,x,x,x,x,x,x,x,#
x,x,x,x,x,x,x,x,x,x,x,x,x,x,d,d,d,x,x,x,x,x,x,x,x,x,x,x,#
