#dig
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,d,d,d,d,d,d,d,d,d,d,d,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,`,d,d,d,d,d,d,d,d,d,d,d,d,d,`,`,`,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,`,`,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,`,d,d,d,d,d,d,d,`,`,`,d,d,d,d,d,d,d,`,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,d,d,d,d,d,d,d,d,`,r,`,d,d,d,d,d,d,d,d,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,d,d,d,d,d,d,d,d,`,r,`,d,d,d,d,d,d,d,d,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,d,d,d,d,d,d,d,d,`,r,`,d,d,d,d,d,d,d,d,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,d,d,d,d,d,d,d,`,`,`,`,`,d,d,d,d,d,d,d,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,d,d,d,`,`,`,`,`,i,i,i,`,`,`,`,`,d,d,d,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,d,d,d,`,r,r,r,`,i,i,i,`,r,r,r,`,d,d,d,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,d,d,d,`,`,`,`,`,i,i,i,`,`,`,`,`,d,d,d,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,d,d,d,d,d,d,d,`,`,`,`,`,d,d,d,d,d,d,d,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,d,d,d,d,d,d,d,d,`,r,`,d,d,d,d,d,d,d,d,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,d,d,d,d,d,d,d,d,`,r,`,d,d,d,d,d,d,d,d,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,d,d,d,d,d,d,d,d,`,r,`,d,d,d,d,d,d,d,d,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,`,d,d,d,d,d,d,d,`,`,`,d,d,d,d,d,d,d,`,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,`,`,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,`,d,d,d,d,d,d,d,d,d,d,d,d,d,`,`,`,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,d,d,d,d,d,d,d,d,d,d,d,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
